,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,42,BAKELANTS Jan,27,RadioShack - Leopard,20.0,100.0,3:43:11,Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
1,2,57,+0:01,11,SAGAN Peter,23,Cannondale Pro Cycling Team,10.0,70.0,0:010:01,Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
2,3,7,+0:01,153,KWIATKOWSKI Michał,23,Omega Pharma - Quick-Step,6.0,50.0,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
3,4,63,+0:01,143,CIMOLAI Davide,23,Lampre - Merida,4.0,40.0,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
4,5,5,+0:01,2,BOASSON HAGEN Edvald,26,Sky Procycling,2.0,32.0,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
5,6,3,+0:01,218,SIMON Julien,27,Sojasun,,26.0,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
6,7,49,+0:01,65,GAVAZZI Francesco,28,Astana Pro Team,,22.0,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
7,8,4,+0:01,185,IMPEY Daryl,28,Orica GreenEDGE,,18.0,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
8,9,46,+0:01,92,BENNATI Daniele,32,Team Saxo - Tinkoff,,14.0,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
9,10,8,+0:01,206,LAGUTIN Sergey,32,Vacansoleil - DCM,,10.0,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
10,11,70,+0:01,144,FAVILLI Elia,24,Lampre - Merida,,8.0,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
11,12,33,+0:01,52,ARASHIRO Yukiya,28,Team Europcar,,6.0,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
12,13,2,+0:01,176,MILLAR David,36,Garmin Sharp,,4.0,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
13,14,75,+0:01,166,TANKINK Bram,34,Belkin-Pro Cycling Team,,2.0,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
14,15,9,+0:01,89,RIBLON Christophe,32,AG2R La Mondiale,,1.0,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
15,16,6,+0:01,181,GERRANS Simon,33,Orica GreenEDGE,,,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
16,17,26,+0:01,114,IZAGIRRE Ion,24,Euskaltel - Euskadi,,,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
17,18,58,+0:01,34,GILBERT Philippe,30,BMC Racing Team,,,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
18,19,43,+0:01,79,VICHOT Arthur,24,FDJ.fr,,,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
19,20,21,+0:01,109,VORGANOV Eduard,30,Team Katusha,,,",,0:01",Tour_de_France,2,30 June 2013,41.94 km/h,70,156 km,1
