,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,181,CONTADOR Alberto,28,Saxo Bank - Sungard,,37:04:40,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
1,2,2,-,79,SIUTSOU Kanstantsin,28,HTC - High Road,,0:590:59,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
2,3,3,-,205,LE MÉVEL Christophe,30,Team Garmin - Cervélo,,1:191:19,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
3,4,4,-,111,NIBALI Vincenzo,26,Liquigas - Cannondale,,1:211:21,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
4,5,5,-,91,SCARPONI Michele,31,Lampre - ISD,,1:281:28,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
5,6,6,-,121,ARROYO David,31,Movistar Team,,1:371:37,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
6,7,7,-,141,KREUZIGER Roman,25,Pro Team Astana,,1:411:41,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
7,8,8,-,21,SERPA José Rodolfo,32,Androni Giocattoli - Serramenti PVC Diquigiovanni,,1:471:47,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
8,9,9,-,162,CATALDO Dario,26,Quickstep Cycling Team,,2:212:21,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
9,10,10,-,221,CARRARA Matteo,32,Vacansoleil - DCM,,",,2:21",..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
10,11,11,-,51,ANTÓN Igor,28,Euskaltel - Euskadi,,",,2:21",..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
11,12,12,-,122,KIRYIENKA Vasil,29,Movistar Team,,2:302:30,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
12,13,13,-,1,GARZELLI Stefano,37,Acqua & Sapone,,2:392:39,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
13,14,14,-,143,MASCIARELLI Francesco,25,Pro Team Astana,,2:492:49,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
14,15,15,-,16,GADRET John,32,AG2R La Mondiale,,2:552:55,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
15,16,16,-,173,KRUIJSWIJK Steven,23,Rabobank Cycling Team,,2:562:56,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
16,17,17,-,15,DUPONT Hubert,30,AG2R La Mondiale,,2:572:57,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
17,18,18,-,144,KIŠERLOVSKI Robert,24,Pro Team Astana,,3:153:15,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
18,19,19,-,22,SELLA Emanuele,30,Androni Giocattoli - Serramenti PVC Diquigiovanni,,3:173:17,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
19,20,20,-,61,MENCHOV Denis,33,Geox-TMC Transformers,,3:183:18,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
20,21,21,-,191,LÖFKVIST Thomas,27,Sky Procycling,,3:273:27,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
21,22,22,-,81,RODRÍGUEZ Joaquim,32,Team Katusha,,3:343:34,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
22,23,23,-,59,NIEVE Mikel,26,Euskaltel - Euskadi,,4:104:10,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
23,24,24,-,37,TSCHOPP Johann,28,BMC Racing Team,,4:234:23,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
24,25,25,-,72,PINOTTI Marco,35,HTC - High Road,,4:564:56,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
25,26,26,-,62,SASTRE Carlos,36,Geox-TMC Transformers,,4:574:57,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
26,27,27,-,131,BAKELANTS Jan,25,Omega Pharma-Lotto,,5:515:51,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
27,28,28,-,41,POZZOVIVO Domenico,28,Colnago - CSF Inox,,5:535:53,..,Giro_d_Italia,GC,17 May 2011,39.615 km/h,0,159 km,15
