,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,4,▲3,71,CAVENDISH Mark,25,HTC - High Road,,6:06:27,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
1,2,3,▲1,79,SIUTSOU Kanstantsin,28,HTC - High Road,,0:120:12,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
2,3,5,▲2,74,LEWIS Craig,26,HTC - High Road,,",,0:12",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
3,4,1,▼3,72,PINOTTI Marco,35,HTC - High Road,,",,0:12",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
4,5,2,▼3,75,BAK Lars Ytting,31,HTC - High Road,,",,0:12",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
5,6,35,▲29,92,PETACCHI Alessandro,37,Lampre - ISD,,0:160:16,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
6,7,6,▼1,213,MCEWEN Robbie,38,RadioShack,,0:220:22,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
7,8,8,-,214,BEPPU Fumiyuki,28,RadioShack,,",,0:22",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
8,9,12,▲3,212,POPOVYCH Yaroslav,31,RadioShack,,",,0:22",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
9,10,7,▼3,211,MACHADO Tiago,25,RadioShack,,",,0:22",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
10,11,10,▼1,217,HUNTER Robert,34,RadioShack,,",,0:22",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
11,12,9,▼3,219,SELANDER Bjorn,23,RadioShack,,",,0:22",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
12,13,11,▼2,216,DEIGNAN Philip,27,RadioShack,,",,0:22",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
13,14,24,▲10,131,BAKELANTS Jan,25,Omega Pharma-Lotto,,0:320:32,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
14,15,15,-,116,SABATINI Fabio,26,Liquigas - Cannondale,,0:340:34,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
15,16,13,▼3,111,NIBALI Vincenzo,26,Liquigas - Cannondale,,",,0:34",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
16,17,14,▼3,112,AGNOLI Valerio,26,Liquigas - Cannondale,,",,0:34",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
17,18,25,▲7,135,DOCKX Gert,22,Omega Pharma-Lotto,,",,0:34",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
18,19,19,-,119,VANOTTI Alessandro,30,Liquigas - Cannondale,,",,0:34",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
19,20,21,▲1,139,LODEWYCK Klaas,23,Omega Pharma-Lotto,,",,0:34",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
20,21,17,▼4,115,DALL'ANTONIA Tiziano,27,Liquigas - Cannondale,,",,0:34",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
21,22,18,▼4,113,CAPECCHI Eros,24,Liquigas - Cannondale,,",,0:34",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
22,23,20,▼3,138,VEIKKANEN Jussi,30,Omega Pharma-Lotto,,",,0:34",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
23,24,26,▲2,134,DE CLERCQ Bart,24,Omega Pharma-Lotto,,",,0:34",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
24,25,29,▲4,201,FARRAR Tyler,26,Team Garmin - Cervélo,,0:360:36,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
25,26,34,▲8,91,SCARPONI Michele,31,Lampre - ISD,,",,0:36",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
26,27,30,▲3,205,LE MÉVEL Christophe,30,Team Garmin - Cervélo,,",,0:36",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
27,28,28,-,78,RENSHAW Mark,28,HTC - High Road,,",,0:36",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
28,29,37,▲8,94,ULISSI Diego,21,Lampre - ISD,,",,0:36",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
29,30,39,▲9,95,HONDO Danilo,37,Lampre - ISD,,",,0:36",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
30,31,31,-,204,FISCHER Murilo Antonio,31,Team Garmin - Cervélo,,",,0:36",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
31,32,36,▲4,99,ŠPILAK Simon,24,Lampre - ISD,,",,0:36",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
32,33,32,▼1,207,MILLAR David,34,Team Garmin - Cervélo,,",,0:36",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
33,34,42,▲8,178,VAN WINDEN Dennis,23,Rabobank Cycling Team,,0:380:38,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
34,35,46,▲11,177,VAN EMDEN Jos,26,Rabobank Cycling Team,,",,0:38",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
35,36,48,▲12,171,BROWN Graeme Allen,32,Rabobank Cycling Team,,",,0:38",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
36,37,43,▲6,179,WEENING Pieter,30,Rabobank Cycling Team,,",,0:38",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
37,38,47,▲9,173,KRUIJSWIJK Steven,23,Rabobank Cycling Team,,",,0:38",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
38,39,45,▲6,176,TANKINK Bram,32,Rabobank Cycling Team,,",,0:38",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
39,40,41,▲1,174,CLEMENT Stef,28,Rabobank Cycling Team,,",,0:38",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
40,41,51,▲10,181,CONTADOR Alberto,28,Saxo Bank - Sungard,,0:420:42,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
41,42,50,▲8,186,PORTE Richie,26,Saxo Bank - Sungard,,",,0:42",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
42,43,54,▲11,182,DIDIER Laurent,26,Saxo Bank - Sungard,,",,0:42",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
43,44,53,▲9,189,MØRKØV Michael,26,Saxo Bank - Sungard,,",,0:42",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
44,45,49,▲4,188,TOSATTO Matteo,36,Saxo Bank - Sungard,,",,0:42",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
45,46,52,▲6,183,GUSTOV Volodymyr,34,Saxo Bank - Sungard,,",,0:42",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
46,47,56,▲9,185,KLOSTERGAARD Kasper,27,Saxo Bank - Sungard,,0:440:44,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
47,48,64,▲16,222,BOŽIČ Borut,30,Vacansoleil - DCM,,0:490:49,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
